### tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0000001	short	Carmencita	Carmencita	0	1894	\N	1	Documentary,Short
tt0000002	short	Le clown et ses chiens	Le clown et ses chiens	0	1892	\N	5	Animation,Short
tt0000003	short	Pauvre Pierrot	Pauvre Pierrot	0	1892	\N	4	Animation,Comedy,Romance
tt0000004	short	Un bon bock	Un bon bock	0	1892	\N	\N	Animation,Short
tt0000005	short	Blacksmith Scene	Blacksmith Scene	0	1893	\N	1	Comedy,Short
tt0000006	short	Chinese Opium Den	Chinese Opium Den	0	1894	\N	1	Short
tt0000007	short	Corbett and Courtney Before the Kinetograph	Corbett and Courtney Before the Kinetograph	0	1894	\N	1	Short,Sport
tt0000008	short	Edison Kinetoscopic Record of a Sneeze	Edison Kinetoscopic Record of a Sneeze	0	1894	\N	1	Documentary,Short
tt0000009	movie	Miss Jerry	Miss Jerry	0	1894	\N	45	Romance
tt0000010	short	Exiting the Factory	La sortie de l'usine Lumière à Lyon	0	1895	\N	1	Documentary,Short
tt0000011	short	Akrobatisches Potpourri	Akrobatisches Potpourri	0	1895	\N	1	Documentary,Short
tt9916840	tvEpisode	Horrid Henry's Comic Caper	Horrid Henry's Comic Caper	0	2014	\N	11	Animation,Comedy,Family
tt9916842	tvEpisode	Episode #3.16	Episode #3.16	0	2010	\N	\N	Action,Drama,Family
tt9916844	tvEpisode	Episode #3.15	Episode #3.15	0	2010	\N	\N	Action,Drama,Family
tt9916846	tvEpisode	Episode #3.18	Episode #3.18	0	2010	\N	\N	Action,Drama,Family
tt9916848	tvEpisode	Episode #3.17	Episode #3.17	0	2010	\N	\N	Action,Drama,Family
tt9916850	tvEpisode	Episode #3.19	Episode #3.19	0	2010	\N	\N	Action,Drama,Family
tt9916852	tvEpisode	Episode #3.20	Episode #3.20	0	2010	\N	\N	Action,Drama,Family
tt9916856	short	The Wind	The Wind	0	2015	\N	27	Short
tt9916880	tvEpisode	Horrid Henry Knows It All	Horrid Henry Knows It All	0	2014	\N	10	Animation,Comedy,Family
								
								
###  nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles			
nm0000001	Fred Astaire	1899	1987	soundtrack,actor,miscellaneous	tt0072308,tt0043044,tt0050419,tt0053137			
nm0000002	Lauren Bacall	1924	2014	actress,soundtrack	tt0037382,tt0117057,tt0038355,tt0071877			
nm0000003	Brigitte Bardot	1934	\N	actress,soundtrack,producer	tt0059956,tt0049189,tt0054452,tt0057345			
nm0000004	John Belushi	1949	1982	actor,writer,soundtrack	tt0080455,tt0077975,tt0078723,tt0072562			
nm0000005	Ingmar Bergman	1918	2007	writer,director,actor	tt0050976,tt0069467,tt0050986,tt0083922			
nm0000006	Ingrid Bergman	1915	1982	actress,soundtrack,producer	tt0038109,tt0036855,tt0071877,tt0038787			
nm0000007	Humphrey Bogart	1899	1957	actor,soundtrack,producer	tt0033870,tt0043265,tt0037382,tt0034583			
nm0052772	Thierry Bara	\N	\N	music_department	tt0165695			
nm0052773	Tina Bara	\N	\N	miscellaneous	tt0096515			
nm0052774	Martin J. Barab	\N	\N	producer,miscellaneous,legal	tt2032572,tt0120202,tt0234137,tt0320242			
nm0052776	Seymour Barab	1921	2014	music_department	tt0116242,tt0085809,tt0088915,tt0095895			
nm0052777	Yannis Baraban	1972	\N	actor	tt0945351,tt0486236,tt0199481,tt0338411			
nm0052778	Bruno Barabani	\N	\N	actor	tt0178010,tt0177941			
nm0052779	Mauro Barabani	\N	\N	actor	tt0171277,tt0076653,tt0076096			
nm0052781	Aleksei Barabanov	\N	\N	editor	tt0103490			
nm0052782	Alexander Barabanov	\N	\N	sound_department	tt0112599,tt0116995,tt0113287,tt6359896			
nm0052783	Nikolai Barabanov	1890	1970	actor	tt0058628,tt0314454,tt5038504			
nm0052784	K. Barabanova	\N	\N	actress	tt0127518			
